Entity,Code,Date,SI,Counter
Andorra,AND,12 –º–,0,43902
Andorra,AND,13 –º–,12.96,43903
Andorra,AND,14 –º–,24.07,43904
Andorra,AND,15 –º–,24.07,43905
Andorra,AND,16 –º–,35.18,43906
Andorra,AND,17 –º–,35.18,43907
Andorra,AND,18 –º–,35.18,43908
Andorra,AND,19 –º–,35.18,43909
Andorra,AND,20 –º–,35.18,43910
Andorra,AND,21 –º–,35.18,43911
Andorra,AND,22 –º–,35.18,43912
Andorra,AND,23 –º–,35.18,43913
Andorra,AND,24 –º–,35.18,43914
Andorra,AND,25 –º–,53.43,43915
Andorra,AND,26 –º–,53.43,43916
Andorra,AND,27 –º–,53.43,43917
Andorra,AND,28 –º–,53.43,43918
Andorra,AND,29 –º–,53.43,43919
Andorra,AND,30 –º–,53.43,43920
Andorra,AND,31 –º–,53.43,43921
Andorra,AND,1 –∞–,53.43,43922
Andorra,AND,2 –∞–,53.43,43923
Andorra,AND,3 –∞–,53.43,43924
Andorra,AND,4 –∞–,53.43,43925
Andorra,AND,5 –∞–,53.43,43926
Andorra,AND,6 –∞–,53.43,43927
Andorra,AND,7 –∞–,53.43,43928
Andorra,AND,8 –∞–,61.77,43929
Andorra,AND,9 –∞–,61.77,43930
Andorra,AND,10 –∞–,61.77,43931
Andorra,AND,11 –∞–,61.77,43932
Andorra,AND,12 –∞–,61.77,43933
Andorra,AND,13 –∞–,61.77,43934
Andorra,AND,14 –∞–,61.77,43935
Andorra,AND,15 –∞–,61.77,43936
Andorra,AND,16 –∞–,61.77,43937
Andorra,AND,17 –∞–,61.77,43938
Andorra,AND,18 –∞–,61.77,43939
Andorra,AND,19 –∞–,61.77,43940
Andorra,AND,20 –∞–,59.12,43941
Andorra,AND,21 –∞–,59.12,43942
Andorra,AND,22 –∞–,59.12,43943
Andorra,AND,23 –∞–,59.12,43944
Andorra,AND,24 –∞–,59.12,43945
Andorra,AND,25 –∞–,59.12,43946
Andorra,AND,26 –∞–,59.12,43947
Andorra,AND,27 –∞–,59.12,43948
Andorra,AND,28 –∞–,59.12,43949
Andorra,AND,29 –∞–,59.12,43950
